"City","Population","Violent_crime","Murder","Rape","Robbery","Assult","Property_crime","Burglary","Larceny_theft","Vehicle_theft","Arson","Violent_crime_rate","Property_crime_rate","Year"
"Ann Arbor",122893,309,2,77,46,184,2124,197,1789,138,8,0.0025,0.0173,"2019"
"Ann Arbor",122571,270,2,55,45,168,1932,215,1650,67,7,0.0022,0.0158,"2018"
"Ann Arbor",121930,259,0,57,53,149,2108,278,1731,99,7,0.0021,0.0173,"2017"
"Ann Arbor",117688,213,1,44,43,125,2051,242,1697,112,10,0.0018,0.0174,"2016"
"Ann Arbor",118730,228,0,58,42,128,2364,274,2018,72,5,0.0019,0.0199,"2015"
"Ann Arbor",122893,309,2,77,46,184,2124,197,1789,138,8,0.0025,0.0173,"2014"
"Ann Arbor",122571,270,2,55,45,168,1932,215,1650,67,7,0.0022,0.0158,"2013"
"Ann Arbor",121930,259,0,57,53,149,2108,278,1731,99,7,0.0021,0.0173,"2012"
"Ann Arbor",117688,213,1,44,43,125,2051,242,1697,112,10,0.0018,0.0174,"2011"
"Ann Arbor",118730,228,0,58,42,128,2364,274,2018,72,5,0.0019,0.0199,"2010"
