CASE_NUM,CRIME_DESC,CHARGE_CODE,CHARGE_DESC,CRIME_PART,ADDRESS,CITY,DATE,CATEGORY,POINT_X,POINT_Y
210045818,DISORDERLY CONDUCT,5393,DISORDERLY CONDUCT (OTHER),B,600 BLOCK HIDDEN VALLEY CLUB DR,ANN ARBOR,2021-12-10 08:56:00,PUBLIC PEACE,-83.74215899899997,42.24641440000005
210045900,INTIMIDATION,1316,INTIMIDATION (ALSO INCLUDES INTERFERING WITH 911 CALL),A,400 BLOCK S MAPLE RD,ANN ARBOR,2021-12-10 17:55:00,INTIMIDATION / STALKING,-83.78214749999995,42.277596800000026
210046070,TRESPASS OF REAL PROPERTY,5707,TRESPASS (OTHER),B,200 BLOCK S STATE ST,ANN ARBOR,2021-12-11 17:19:00,TRESPASSING / INVASION OF PRIVACY,-83.74103859899998,42.27954099900006
210046235,COUNTERFEITING/FORGERY,2505,PASS COUNTERFEITED -ANY OBJECT,A,900 BLOCK GREENE ST,ANN ARBOR,2021-12-12 18:07:00,FORGERY / COUNTERFEITING,-83.74762520099995,42.26955350000003
210046104,THEFT FROM MOTOR VEHICLE,2305,LARCENY - PERSONAL PROPERTY FROM VEHICLE - LFA,A,3800 BLOCK RESEARCH PARK DR,ANN ARBOR,2021-12-11 20:30:00,LARCENY - FROM AUTO (LFA),-83.73825829999998,42.23092420100005
210046230,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2902,DAMAGE TO PROPERTY - PRIVATE PROPERTY - MDOP,A,200 BLOCK CHAPIN ST,ANN ARBOR,2021-12-12 20:24:00,DAMAGE TO PROPERTY,-83.75636069999996,42.28349700000007
210046146,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2901,DAMAGE TO PROPERTY - BUSINESS PROPERTY - MDOP,A,0 BLOCK NICKELS ARCADE,ANN ARBOR,2021-12-12 02:52:00,DAMAGE TO PROPERTY,-83.74111869999996,42.27839760000006
210046194,THEFT FROM MOTOR VEHICLE,2305,LARCENY - PERSONAL PROPERTY FROM VEHICLE - LFA,A,2100 BLOCK HEMLOCK DR,ANN ARBOR,2021-12-12 03:00:00,LARCENY - FROM AUTO (LFA),-83.71179779999994,42.23567590000005
211000821,THEFT FROM MOTOR VEHICLE,2305,LARCENY - PERSONAL PROPERTY FROM VEHICLE - LFA,A,2900 BLOCK BIRCH HOLLOW DR,ANN ARBOR,2021-12-12 01:52:30,LARCENY - FROM AUTO (LFA),-83.72095129999997,42.23830790000005
211000825,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2902,DAMAGE TO PROPERTY - PRIVATE PROPERTY - MDOP,A,2500 BLOCK JACKSON AVE,ANN ARBOR,2021-12-10 23:31:00,DAMAGE TO PROPERTY,-83.78293539999999,42.27967250100005
