Table 6,,,,,,,,,,,,,
MICHIGAN,,,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,, ,,,,,,,,
"by City, 2016",,,,,,,,,,,,,
City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition1)","Rape
(legacy
definition2)",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,
Addison Township,"6,532",5,0,1,,0,4,53,15,36,2,0,
Akron,391,3,0,3,,0,0,5,2,3,0,0,
Albion,"8,155",101,2,18,,12,69,280,78,190,12,6,
Allegan,"5,086",16,0,7,,1,8,62,4,56,2,0,
Allen Park,"27,284",53,0,6,,10,37,500,55,367,78,5,
Alma,"9,159",18,1,6,,0,11,147,12,133,2,3,
Almont,"2,734",15,0,1,,1,13,53,18,32,3,0,
Alpena,"10,119",29,0,16,,2,11,212,26,179,7,2,
Ann Arbor,"117,688",213,1,44,,43,125,"2,051",242,"1,697",112,10,
Argentine Township,"6,591",15,0,3,,0,12,26,12,13,1,1,
Armada,"1,747",0,0,0,,0,0,4,0,4,0,1,
Auburn Hills,"22,933",62,0,11,,15,36,661,51,578,32,4,
Au Gres,853,0,0,0,,0,0,5,0,5,0,0,
Bad Axe,"2,989",5,0,4,,0,1,83,6,77,0,0,
Bancroft,518,0,0,0,,0,0,3,1,2,0,0,
Bangor,"1,843",7,0,2,,0,5,32,7,25,0,0,
Baroda-Lake Township,"3,774",7,0,0,,2,5,24,6,17,1,0,
Barryton,357,0,0,0,,0,0,4,1,3,0,0,
Barry Township,"3,413",3,0,0,,0,3,18,1,16,1,0,
Bath Township,"12,552",11,0,5,,3,3,172,49,109,14,0,
Battle Creek,"60,904",594,3,83,,64,444,"2,325",607,"1,629",89,15,
Bay City,"33,725",205,1,50,,25,129,925,291,600,34,10,
Beaverton,"1,044",6,0,1,,0,5,18,2,12,4,0,
Belding,"5,772",16,0,5,,0,11,48,12,34,2,1,
Bellaire,"1,062",0,0,0,,0,0,10,0,10,0,0,
Belleville,"3,860",6,0,5,,0,1,90,15,65,10,0,
Bellevue,"1,277",0,0,0,,0,0,1,1,0,0,0,
Benton Harbor,"9,963",179,1,15,,41,122,438,137,258,43,5,
Benton Township,"14,413",159,1,25,,25,108,"1,094",155,901,38,8,
Berkley,"15,328",12,0,4,,2,6,89,11,75,3,0,
Berrien Springs-Oronoko Township,"9,085",17,0,6,,0,11,115,26,87,2,0,
Beverly Hills,"10,455",3,1,0,,0,2,80,10,65,5,0,
Big Rapids,"10,389",32,0,8,,3,21,157,17,133,7,2,
Birch Run,"1,465",2,0,0,,0,2,83,0,78,5,0,
Birmingham,"21,012",9,0,1,,4,4,242,19,215,8,1,
Blackman Township,"37,522",102,1,23,,20,58,"1,040",140,861,39,5,
Blissfield,"3,239",4,0,1,,0,3,25,1,24,0,0,
Bloomfield Hills,"4,031",4,0,0,,0,4,35,8,26,1,0,
Bloomfield Township,"42,313",20,0,3,,3,14,421,65,338,18,1,
Boyne City,"3,785",6,1,2,,1,2,40,5,34,1,0,
Brandon Township,"15,692",18,0,2,,0,16,51,16,33,2,1,
Breckenridge,"1,301",2,0,0,,0,2,25,1,24,0,0,
Bridgeport Township,"9,993",48,0,6,,3,39,179,55,118,6,1,
Bridgman,"2,251",3,0,2,,0,1,6,1,5,0,0,
Brighton,"7,643",8,0,1,,2,5,131,13,116,2,1,
Bronson,"2,333",8,0,1,,1,6,33,5,26,2,0,
Brown City,"1,264",2,0,0,,0,2,17,2,15,0,0,
Brownstown Township,"30,864",61,0,18,,4,39,342,63,225,54,1,
Buchanan,"4,344",22,0,5,,2,15,132,21,110,1,0,
Buena Vista Township,"8,158",89,4,12,,5,68,197,78,111,8,2,
Burton,"28,563",105,2,22,,19,62,762,120,607,35,5,
Cadillac,"10,372",38,0,6,,2,30,322,50,262,10,2,
Calumet,698,1,0,0,,0,1,4,1,2,1,0,
Cambridge Township,"5,645",4,0,1,,0,3,16,6,10,0,0,
Canton Township,"89,861",152,0,21,,23,108,"1,032",79,904,49,6,
Capac,"1,842",7,0,3,,0,4,37,6,31,0,0,
Carleton,"2,335",7,0,1,,0,6,24,6,17,1,1,
Caro,"4,074",26,0,8,,2,16,135,15,118,2,0,
Carrollton Township,"5,781",8,0,1,,1,6,53,12,38,3,0,
Carson City,"1,090",3,0,0,,1,2,15,1,14,0,0,
Caseville,738,2,0,1,,0,1,12,1,11,0,1,
Caspian-Gaastra,"1,190",1,0,0,,0,1,2,1,1,0,0,
Cass City,"2,343",10,0,2,,0,8,66,6,58,2,0,
Cassopolis,"1,721",10,0,3,,1,6,31,10,21,0,1,
Center Line,"8,332",40,0,5,,11,24,196,30,121,45,0,
Central Lake,932,1,0,1,,0,0,10,0,10,0,0,
Charlevoix,"2,546",7,0,5,,0,2,81,9,69,3,1,
Charlotte,"9,051",29,1,11,,0,17,206,26,169,11,0,
Cheboygan,"4,709",13,0,6,,1,6,154,10,143,1,1,
Chelsea,"5,254",3,0,1,,1,1,56,5,49,2,0,
Chesaning,"2,268",1,0,0,,0,1,12,3,9,0,0,
Chesterfield Township,"44,963",93,0,17,,5,71,781,100,642,39,6,
Chikaming Township,"3,090",8,0,3,,1,4,65,23,40,2,0,
Chocolay Township,"5,952",13,0,3,,0,10,37,2,33,2,0,
Clare,"3,071",6,0,3,,1,2,48,2,46,0,1,
Clarkston,896,0,0,0,,0,0,9,4,4,1,0,
Clawson,"12,053",11,0,3,,1,7,74,14,58,2,0,
Clayton Township,"7,156",20,0,7,,1,12,37,8,24,5,0,
Clay Township,"8,844",26,0,5,,1,20,120,33,87,0,1,
Clinton,"2,260",2,0,2,,0,0,15,4,9,2,0,
Clinton Township,"100,514",326,3,42,,36,245,"1,686",284,"1,277",125,9,
Clio,"2,516",5,0,0,,1,4,34,7,27,0,0,
Coldwater,"10,827",42,0,16,,4,22,328,28,293,7,1,
Coleman,"1,198",1,0,0,,0,1,12,3,9,0,1,
Coloma Township,"6,388",22,1,5,,4,12,145,49,94,2,0,
Colon,"1,156",2,0,0,,0,2,26,2,23,1,0,
Columbia Township,"7,424",9,0,1,,1,7,43,7,33,3,1,
Commerce Township,"38,218",18,0,2,,6,10,358,36,312,10,1,
Constantine,"2,062",6,0,1,,0,5,50,8,39,3,0,
Corunna,"3,386",11,0,3,,0,8,26,8,17,1,0,
Covert Township,"2,824",16,0,2,,0,14,59,19,38,2,1,
Croswell,"2,318",19,0,3,,3,13,62,11,48,3,0,
Crystal Falls,"1,404",4,0,3,,0,1,17,4,9,4,0,
Davison,"4,927",4,0,2,,0,2,64,6,54,4,0,
Davison Township,"19,029",22,1,6,,1,14,247,82,159,6,3,
Dearborn,"94,646",348,1,30,,80,237,"2,791",297,"2,167",327,5,
Dearborn Heights,"55,852",207,5,16,,47,139,"1,080",244,667,169,12,
Decatur,"1,759",13,0,5,,0,8,70,17,50,3,0,
Denton Township,"5,358",7,0,2,,0,5,101,17,84,0,0,
Detroit,"669,673","13,705",303,579,,"2,941","9,882","31,630","8,787","13,938","8,905",554,
DeWitt,"4,684",6,0,4,,0,2,21,4,14,3,2,
DeWitt Township,"14,686",19,0,9,,1,9,138,23,110,5,1,
Dryden Township,"4,773",12,0,2,,1,9,32,8,22,2,0,
Durand,"3,317",14,0,3,,1,10,43,8,34,1,0,
East Grand Rapids,"11,436",2,0,0,,0,2,95,14,73,8,0,
East Jordan,"2,376",9,0,2,,0,7,73,12,60,1,0,
East Lansing,"48,451",115,0,43,,24,48,719,124,488,107,11,
Eastpointe,"32,701",266,1,34,,45,186,"1,062",235,602,225,17,
Eaton Rapids,"5,226",15,0,10,,0,5,63,9,53,1,0,
Eau Claire,617,0,0,0,,0,0,8,3,5,0,0,
Ecorse,"9,213",149,1,13,,28,107,343,110,174,59,11,
Elk Rapids,"1,611",0,0,0,,0,0,39,2,37,0,0,
Elkton,774,0,0,0,,0,0,13,1,12,0,0,
Elsie,972,0,0,0,,0,0,1,1,0,0,0,
Emmett Township,"11,604",56,1,9,,6,40,566,75,482,9,1,
Escanaba,"12,278",39,0,7,,5,27,505,39,455,11,1,
Essexville,"3,381",8,0,0,,2,6,29,6,21,2,2,
Evart,"1,853",6,0,3,,0,3,45,6,39,0,0,
Fair Haven Township,"1,051",0,0,0,,0,0,2,1,1,0,0,
Farmington,"10,553",5,0,0,,0,5,117,10,103,4,0,
Farmington Hills,"81,649",77,0,18,,9,50,"1,050",145,834,71,4,
Fennville,"1,401",1,0,1,,0,0,11,0,11,0,0,
Fenton,"11,383",15,0,10,,0,5,225,28,184,13,1,
Ferndale,"20,232",45,1,2,,8,34,562,86,402,74,0,
Flat Rock,"9,917",20,0,5,,4,11,142,16,108,18,0,
Flint,"97,548","1,545",45,96,,249,"1,155","3,323","1,213","1,867",243,63,
Flint Township,"30,460",294,0,25,,63,206,"1,656",374,"1,179",103,5,
Flushing,"8,028",10,0,5,,0,5,78,5,69,4,0,
Flushing Township,"10,235",11,0,3,,1,7,39,9,29,1,0,
Forsyth Township,"6,196",17,1,2,,2,12,81,6,69,6,2,
Fowlerville,"2,898",9,0,7,,1,1,114,10,102,2,0,
Frankenmuth,"5,037",7,0,3,,1,3,74,7,64,3,0,
Frankfort,"1,283",2,0,0,,0,2,44,3,40,1,0,
Franklin,"3,254",2,0,0,,0,2,23,9,14,0,0,
Fraser,"14,667",28,0,5,,8,15,332,47,258,27,1,
Fremont,"4,027",12,0,6,,2,4,116,11,103,2,2,
Fruitport Township,"13,879",25,1,5,,8,11,518,22,484,12,3,
Gaines Township,"6,177",1,0,0,,0,1,25,10,13,2,1,
Galesburg,"2,050",2,0,0,,0,2,22,2,18,2,0,
Galien,529,0,0,0,,0,0,0,0,0,0,0,
Garden City,"26,781",69,0,13,,14,42,491,96,341,54,1,
Garfield Township,811,0,0,0,,0,0,0,0,0,0,0,
Gaylord,"3,662",12,0,5,,1,6,256,8,246,2,2,
Genesee Township,"20,393",70,1,10,,9,50,224,76,112,36,1,
Gerrish Township,"2,922",3,0,1,,0,2,34,8,22,4,1,
Gibraltar,"4,509",3,0,1,,0,2,30,4,26,0,1,
Gladstone,"4,802",5,0,3,,0,2,76,10,65,1,1,
Gladwin,"2,869",10,0,5,,0,5,54,8,42,4,0,
Grand Beach,278,0,0,0,,0,0,5,3,2,0,0,
Grand Blanc,"7,940",11,2,3,,3,3,85,13,71,1,2,
Grand Haven,"11,196",27,0,20,,3,4,212,29,177,6,3,
Grand Ledge,"7,790",15,0,10,,1,4,115,9,103,3,0,
Grand Rapids,"196,538","1,327",10,142,,321,854,"4,334",822,"3,208",304,60,
Grandville,"16,070",32,0,8,,12,12,683,62,611,10,0,
Grant,880,4,0,1,,0,3,23,2,21,0,0,
Grayling,"1,836",11,0,4,,0,7,79,7,72,0,0,
Green Oak Township,"18,722",16,0,6,,1,9,148,16,121,11,1,
Greenville,"8,438",26,0,13,,1,12,233,29,204,0,3,
Grosse Ile Township,"10,123",2,0,0,,0,2,15,3,12,0,1,
Grosse Pointe,"5,198",4,0,1,,1,2,90,8,78,4,0,
Grosse Pointe Farms,"9,188",5,1,1,,2,1,157,14,125,18,0,
Grosse Pointe Park,"11,160",13,0,1,,3,9,215,20,162,33,0,
Grosse Pointe Shores,"2,920",1,0,0,,0,1,28,7,19,2,0,
Grosse Pointe Woods,"15,699",12,0,3,,4,5,224,35,178,11,0,
Hamburg Township,"21,714",14,0,9,,0,5,80,15,54,11,0,
Hampton Township,"9,401",13,0,4,,0,9,139,19,118,2,0,
